Nodes,SIR
316,243.388
832,253.442
448,253.541
317,251.09
318,254.201
319,247.335
320,253.651
321,239.285
769,249.46
719,242.337
324,250.706
346,249.27
634,246.269
434,261.27
554,253.945
526,253.88
330,257.828
545,250.277
998,242.92
864,241.196
333,245.794
830,251.093
334,244.287
849,260.11
335,252.241
336,249.731
939,247.408
941,249.876
609,253.224
338,257.794
339,240.492
813,248.029
381,242.829
612,246.114
854,244.744
908,248.771
344,250.743
975,245.829
875,253.038
984,258.883
523,247.399
527,259.769
668,245.439
963,243.703
356,211.186
618,250.718
357,242.385
370,250.124
458,239.87
361,255.898
362,249.816
363,248.695
500,256.036
365,243.455
368,253.163
504,245.479
372,263.104
373,250.79
387,246.117
620,245.973
655,249.148
856,246.844
757,245.173
379,248.499
955,243.559
384,216.583
385,242.74
787,256.92
390,240.957
626,249.539
392,247.924
403,254.725
394,251.351
947,252.379
396,214.583
397,246.141
470,250.931
401,244.141
402,250.502
568,245.88
404,253.109
508,245.342
407,235.574
417,244.794
534,245.397
426,251.994
427,249.696
478,249.142
429,248.619
580,252.064
430,249.369
907,255.028
431,251.84
646,247.49
433,240.835
844,243.704
441,253.165
443,242.483
957,236.787
447,248.381
451,239.685
452,244.94
806,243.445
453,254.007
454,238.731
888,256.267
477,248.506
456,253.561
928,258.629
460,251.261
780,250.423
463,231.866
762,246.856
464,257.667
550,242.988
469,242.578
709,239.07
472,250.451
579,241.623
475,248.39
734,246.933
479,244.265
966,249.399
706,247.806
607,249.571
887,246.383
482,256.001
483,247.119
921,249.053
486,254.122
487,251.426
488,245.459
605,244.921
495,248.721
755,250.578
776,253.251
502,261.538
503,246.049
906,247.245
514,232.698
515,249.848
516,246.02
876,254.375
518,253.341
593,243.855
519,253.236
521,244.66
522,258.144
524,248.931
531,249.946
684,248.618
894,251.54
535,255.624
536,247.618
537,241.411
538,239.082
539,248.094
542,243.341
925,238.518
973,255.495
543,237.842
546,259.454
599,253.069
951,254.806
551,243.772
770,256.586
552,254.604
741,247.031
555,259.638
882,243.698
965,254.287
561,244.018
563,253.582
781,250.288
956,246.08
566,252.603
570,241.5
896,245.887
572,237.018
573,258.53
574,247.406
576,237.255
578,241.058
820,256.565
768,248.265
588,241.87
591,245.276
942,252.169
598,250.132
601,253.695
630,247.638
602,235.656
606,260.322
617,241.94
610,242.954
613,251.797
775,251.488
615,243.172
631,253.97
915,253.55
622,256.95
642,249.545
944,246.449
628,253.472
665,241.693
632,246.892
633,251.116
637,245.06
645,254.14
647,259.323
794,247.395
651,248.25
652,242.194
657,234.609
658,257.147
659,247.733
779,246.824
664,244.485
669,249.2
671,246.81
986,250.733
672,241.24
799,250.725
674,251.769
675,249.465
804,245.662
679,240.173
681,249.484
683,248.309
688,250.244
991,231.463
971,240.75
697,247.199
699,249.311
701,244.142
705,263.964
710,247.315
711,253.434
748,251.233
712,252.097
869,251.971
725,247.475
733,236.008
905,246.671
740,254.658
742,241.841
743,243.417
745,246.896
999,237.658
826,253.927
749,252.369
914,246.34
756,255.017
765,246.163
767,255.262
810,253.388
933,245.844
772,252.993
773,204.457
919,247.518
774,252.999
778,239.778
783,243.634
791,245.905
808,236.387
796,247.351
853,251.953
809,246.126
960,255.34
860,251.202
977,256.201
824,237.849
825,253.906
831,253.68
838,249.077
841,248.601
845,248.145
848,250.947
859,249.384
867,247.567
881,254.107
884,253.298
886,251.187
899,243.36
909,254.108
917,254.637
922,249.79
926,253.556
927,245.604
937,260.183
938,258.983
945,251.944
946,253.207
961,255.196
967,245.037
972,244.611
980,256.101
987,244.887
